user_name,meal,restaurant,rating,order_date
Francesco,Lasagna,Trattoria Milano,2,2023-11-27
Simone,Panna Cotta,Pizzeria Napoli,4,2023-11-17
Giorgio,Panna Cotta,Pizzeria Napoli,5,2023-08-05
Alice,Lasagna,Pizzeria Napoli,5,2023-12-05
Alice,Cannoli,Cucina Siciliana,4,2023-12-05
Marco,Lasagna,Pizzeria Napoli,3,2023-10-21
Matteo,Gnocchi,Pizzeria Napoli,5,2023-04-25
Chiara,Lasagna,Trattoria Milano,2,2023-05-22
Francesca,Risotto alla Milanese,Trattoria Milano,5,2023-11-22
Francesca,Focaccia,Pizzeria Napoli,4,2023-04-09
Alessandro,Risotto alla Milanese,Osteria Firenze,4,2023-09-20
Davide,Lasagna,Trattoria Milano,2,2023-05-20
Andrea,Tiramisu,Trattoria Milano,4,2023-12-02
Francesco,Cannoli,Ristorante Roma,2,2023-07-04
Lorenzo,Cannoli,Osteria Firenze,1,2023-05-19
Giulia,Lasagna,Trattoria Milano,2,2023-02-28
Giorgio,Gnocchi,Cucina Siciliana,3,2023-08-01
Andrea,Gnocchi,Cucina Siciliana,4,2023-07-26
Simone,Spaghetti Carbonara,Pizzeria Napoli,1,2023-01-11
Luca,Tiramisu,Trattoria Milano,2,2023-10-24
Francesca,Risotto alla Milanese,Trattoria Milano,3,2023-08-18
Andrea,Risotto alla Milanese,Pizzeria Napoli,3,2023-10-27
Giorgio,Focaccia,Trattoria Milano,1,2023-02-28
Silvia,Focaccia,Pizzeria Napoli,1,2023-10-28
Martina,Panna Cotta,Ristorante Roma,5,2023-08-09
Martina,Tiramisu,Cucina Siciliana,1,2023-04-18
Andrea,Bruschetta,Trattoria Milano,2,2023-09-02
Elena,Panna Cotta,Ristorante Roma,4,2023-10-09
Martina,Bruschetta,Trattoria Milano,4,2023-07-28
Giulia,Pizza Margherita,Osteria Firenze,4,2023-04-24
Giulia,Bruschetta,Trattoria Milano,5,2023-12-05
Silvia,Gnocchi,Cucina Siciliana,2,2023-05-18
Valentina,Spaghetti Carbonara,Trattoria Milano,4,2023-06-24
Chiara,Lasagna,Cucina Siciliana,4,2023-06-14
Alice,Lasagna,Ristorante Roma,1,2023-04-20
Federica,Focaccia,Osteria Firenze,5,2023-11-16
Matteo,Lasagna,Cucina Siciliana,3,2023-07-14
Chiara,Pizza Margherita,Cucina Siciliana,5,2023-07-14
Simone,Pizza Margherita,Ristorante Roma,4,2023-02-05
Francesco,Lasagna,Osteria Firenze,3,2023-01-21
Marco,Pizza Margherita,Pizzeria Napoli,3,2023-06-23
Sara,Lasagna,Osteria Firenze,5,2023-09-06
Giulia,Tiramisu,Pizzeria Napoli,3,2023-09-08
Luca,Lasagna,Pizzeria Napoli,3,2023-07-15
Andrea,Focaccia,Trattoria Milano,3,2023-04-14
Marco,Pizza Margherita,Trattoria Milano,5,2023-01-17
Giulia,Lasagna,Cucina Siciliana,3,2023-01-03
Marco,Tiramisu,Osteria Firenze,4,2023-12-20
Francesco,Lasagna,Ristorante Roma,4,2023-03-22
Lorenzo,Focaccia,Osteria Firenze,5,2023-11-13
Francesco,Bruschetta,Pizzeria Napoli,4,2023-05-13
Andrea,Risotto alla Milanese,Pizzeria Napoli,2,2023-10-16
Lorenzo,Cannoli,Osteria Firenze,5,2023-12-09
Silvia,Panna Cotta,Osteria Firenze,3,2023-12-15
Valentina,Cannoli,Trattoria Milano,3,2023-11-06
Giulia,Risotto alla Milanese,Pizzeria Napoli,1,2023-10-28
Luca,Risotto alla Milanese,Osteria Firenze,4,2023-06-15
Alessandro,Gnocchi,Cucina Siciliana,4,2023-09-12
Chiara,Risotto alla Milanese,Cucina Siciliana,5,2023-05-24
Alice,Bruschetta,Cucina Siciliana,1,2023-06-22
Silvia,Focaccia,Pizzeria Napoli,3,2023-01-07
Valentina,Cannoli,Osteria Firenze,4,2023-06-09
Francesco,Gnocchi,Trattoria Milano,4,2023-11-15
Lorenzo,Pizza Margherita,Pizzeria Napoli,3,2023-12-17
Marco,Lasagna,Cucina Siciliana,5,2023-08-25
Lorenzo,Focaccia,Trattoria Milano,3,2023-05-22
Silvia,Cannoli,Ristorante Roma,2,2023-07-22
Giorgio,Spaghetti Carbonara,Ristorante Roma,1,2023-10-10
Alessandro,Spaghetti Carbonara,Osteria Firenze,4,2023-01-01
Elena,Tiramisu,Pizzeria Napoli,2,2023-04-17
Francesca,Focaccia,Trattoria Milano,4,2023-01-07
Federica,Bruschetta,Cucina Siciliana,3,2023-08-24
Lorenzo,Lasagna,Trattoria Milano,4,2023-11-11
Valentina,Bruschetta,Trattoria Milano,4,2023-12-16
Marco,Lasagna,Cucina Siciliana,1,2023-07-16
Valentina,Cannoli,Ristorante Roma,4,2023-06-11
Giulia,Lasagna,Trattoria Milano,2,2023-05-07
Luca,Cannoli,Trattoria Milano,2,2023-06-06
Elena,Panna Cotta,Osteria Firenze,5,2023-02-05
Martina,Pizza Margherita,Trattoria Milano,5,2023-12-22
Alessandro,Bruschetta,Cucina Siciliana,4,2023-07-01
Andrea,Tiramisu,Trattoria Milano,4,2023-07-21
Elena,Focaccia,Trattoria Milano,3,2023-07-11
Federica,Focaccia,Cucina Siciliana,2,2023-01-12
Andrea,Lasagna,Osteria Firenze,2,2023-04-17
Giulia,Panna Cotta,Trattoria Milano,4,2023-06-10
Alice,Gnocchi,Pizzeria Napoli,4,2023-03-23
Giorgio,Bruschetta,Trattoria Milano,5,2023-06-05
Matteo,Cannoli,Cucina Siciliana,3,2023-10-27
Alessandro,Cannoli,Cucina Siciliana,3,2023-03-19
Martina,Risotto alla Milanese,Pizzeria Napoli,5,2023-03-03
Sara,Panna Cotta,Trattoria Milano,4,2023-04-19
Marco,Panna Cotta,Cucina Siciliana,3,2023-09-28
Valentina,Tiramisu,Ristorante Roma,2,2023-09-22
Giorgio,Tiramisu,Pizzeria Napoli,1,2023-10-11
Alice,Panna Cotta,Ristorante Roma,1,2023-02-12
Giorgio,Cannoli,Ristorante Roma,4,2023-09-23
Andrea,Focaccia,Cucina Siciliana,3,2023-09-18
Francesco,Spaghetti Carbonara,Osteria Firenze,4,2023-09-28
Lorenzo,Panna Cotta,Osteria Firenze,1,2023-08-20
Luca,Lasagna,Ristorante Roma,2,2023-03-26
Sara,Focaccia,Cucina Siciliana,5,2023-05-25
Silvia,Focaccia,Trattoria Milano,2,2023-02-10
Francesco,Spaghetti Carbonara,Pizzeria Napoli,5,2023-02-15
Andrea,Risotto alla Milanese,Osteria Firenze,5,2023-10-14
Valentina,Focaccia,Cucina Siciliana,4,2023-08-09
Luca,Risotto alla Milanese,Osteria Firenze,3,2023-02-12
Luca,Risotto alla Milanese,Pizzeria Napoli,3,2023-04-17
Matteo,Cannoli,Osteria Firenze,2,2023-03-08
